"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37524","test_run[test_case21]","SK/sk","Fri May 02 11:20:10 GMT 2025","passed","Fri May 02 11:20:48 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32610","test_run[test_case17]","PL/pl","Fri May 02 11:19:59 GMT 2025","passed","Fri May 02 11:20:32 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44413","test_run[test_case4]","CH/fr","Fri May 02 11:15:24 GMT 2025","passed","Fri May 02 11:16:09 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","30274","test_run[test_case19]","RO/ro","Fri May 02 11:20:32 GMT 2025","passed","Fri May 02 11:21:02 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35847","test_run[test_case0]","AT/de","Fri May 02 11:16:02 GMT 2025","passed","Fri May 02 11:16:38 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37740","test_run[test_case18]","PT/pt","Fri May 02 11:19:34 GMT 2025","passed","Fri May 02 11:20:12 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35766","test_run[test_case14]","LU/de","Fri May 02 11:18:23 GMT 2025","passed","Fri May 02 11:18:58 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29928","test_run[test_case7]","CZ/cs","Fri May 02 11:19:40 GMT 2025","passed","Fri May 02 11:20:10 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40302","test_run[test_case5]","CH/it","Fri May 02 11:16:09 GMT 2025","passed","Fri May 02 11:16:49 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46198","test_run[test_case6]","GB/en","Fri May 02 11:18:54 GMT 2025","failed","Fri May 02 11:19:40 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","43385","test_run[test_case20]","SE/sv","Fri May 02 11:20:12 GMT 2025","passed","Fri May 02 11:20:55 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29555","test_run[test_case10]","ES/es","Fri May 02 11:17:08 GMT 2025","passed","Fri May 02 11:17:38 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","30810","test_run[test_case1]","BE/nl","Fri May 02 11:16:38 GMT 2025","passed","Fri May 02 11:17:08 GMT 2025","C236 - COUPE (MODELS)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35652","test_run[test_case16]","NL/nl","Fri May 02 11:18:58 GMT 2025","passed","Fri May 02 11:19:34 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39475","test_run[test_case8]","DE/de","Fri May 02 11:20:12 GMT 2025","failed","Fri May 02 11:20:51 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37579","test_run[test_case9]","DK/da","Fri May 02 11:16:47 GMT 2025","passed","Fri May 02 11:17:25 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45095","test_run[test_case2]","BE/fr","Fri May 02 11:15:24 GMT 2025","passed","Fri May 02 11:16:09 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38006","test_run[test_case3]","CH/de","Fri May 02 11:16:09 GMT 2025","passed","Fri May 02 11:16:47 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32060","test_run[test_case11]","FR/fr","Fri May 02 11:17:25 GMT 2025","passed","Fri May 02 11:17:57 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34547","test_run[test_case13]","IT/it","Fri May 02 11:18:21 GMT 2025","passed","Fri May 02 11:18:56 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34198","test_run[test_case15]","LU/fr","Fri May 02 11:18:56 GMT 2025","passed","Fri May 02 11:19:30 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","22141","test_run[test_case12]","HU/hu","Fri May 02 11:20:51 GMT 2025","passed","Fri May 02 11:21:13 GMT 2025","C236 - CLE (COUPE)","BFV1","",""
