"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35937","test_run[test_case477]","LU/de","Sat May 03 23:05:22 GMT 2025","passed","Sat May 03 23:05:58 GMT 2025","C118-fl - CLA (COUPE)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45304","test_run[test_case151]","CH/fr","Sat May 03 21:23:00 GMT 2025","passed","Sat May 03 21:23:45 GMT 2025","Z223 - MAYBACH-S-CLASS (SALOON-LONG)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","30400","test_run[test_case461]","LU/de","Sat May 03 23:08:58 GMT 2025","passed","Sat May 03 23:09:28 GMT 2025","C167-fl - GLE-COUPE (SUV)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39254","test_run[test_case491]","LU/fr","Sat May 03 23:17:35 GMT 2025","passed","Sat May 03 23:18:14 GMT 2025","W214 - E-CLASS (SALOON)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42746","test_run[test_case155]","CH/fr","Sat May 03 21:31:15 GMT 2025","passed","Sat May 03 21:31:58 GMT 2025","V297 - EQS (SALOON)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29630","test_run[test_case588]","PT/pt","Sat May 03 23:39:26 GMT 2025","passed","Sat May 03 23:39:55 GMT 2025","X294 - EQE (SUV)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","31942","test_run[test_case166]","CH/fr","Sat May 03 21:40:26 GMT 2025","passed","Sat May 03 21:40:58 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38423","test_run[test_case623]","RO/ro","Sun May 04 00:01:28 GMT 2025","passed","Sun May 04 00:02:06 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32109","test_run[test_case515]","NL/nl","Sat May 03 23:29:05 GMT 2025","passed","Sat May 03 23:29:37 GMT 2025","W223 - S-CLASS (SALOON)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37777","test_run[test_case388]","FR/fr","Sat May 03 22:31:02 GMT 2025","passed","Sat May 03 22:31:40 GMT 2025","W465 - G-CLASS (SUV)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","50400","test_run[test_case57]","BE/nl","Sat May 03 21:22:21 GMT 2025","failed","Sat May 03 21:23:11 GMT 2025","R232 - CABRIOLET-ROADSTER (MODELS)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","50181","test_run[test_case143]","CH/de","Sat May 03 21:17:06 GMT 2025","passed","Sat May 03 21:17:56 GMT 2025","W465 - G-CLASS (SUV)","BFV1","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44524","test_run[test_case483]","LU/fr","Sat May 03 23:10:49 GMT 2025","passed","Sat May 03 23:11:34 GMT 2025","X296 - EQS (SUV)","BFV1","",""
