"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40379","test_run[test_case544]","PT/pt","Sun May 04 10:15:27 GMT 2025","passed","Sun May 04 10:16:07 GMT 2025","X296 - EQS (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32342","test_run[test_case362]","HU/hu","Sun May 04 08:56:05 GMT 2025","passed","Sun May 04 08:56:38 GMT 2025","W223 - S-CLASS (SALOON)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","72337","test_run[test_case391]","IT/it","Sun May 04 08:39:34 GMT 2025","passed","Sun May 04 08:40:46 GMT 2025","X296 - EQS (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34513","test_run[test_case233]","GB/en","Sun May 04 08:22:15 GMT 2025","passed","Sun May 04 08:22:49 GMT 2025","W465 - G-CLASS (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","28854","test_run[test_case216]","GB/en","Sun May 04 07:46:02 GMT 2025","failed","Sun May 04 07:46:31 GMT 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","0","test_run[test_case2]","","Sun May 04 06:51:19 GMT 2025","passed","Sun May 04 06:51:19 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32504","test_run[test_case434]","LU/de","Sun May 04 09:09:50 GMT 2025","passed","Sun May 04 09:10:22 GMT 2025","X294 - EQE (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","30179","test_run[test_case268]","CZ/cs","Sun May 04 08:16:25 GMT 2025","passed","Sun May 04 08:16:55 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29599","test_run[test_case587]","RO/ro","Sun May 04 10:17:42 GMT 2025","passed","Sun May 04 10:18:12 GMT 2025","X294 - EQE (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32144","test_run[test_case366]","HU/hu","Sun May 04 08:58:10 GMT 2025","passed","Sun May 04 08:58:42 GMT 2025","C254 - GLC-COUPE (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32655","test_run[test_case136]","CH/de","Sun May 04 07:03:45 GMT 2025","passed","Sun May 04 07:04:18 GMT 2025","V167-fl - GLE (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32917","test_run[test_case502]","NL/nl","Sun May 04 09:25:02 GMT 2025","passed","Sun May 04 09:25:34 GMT 2025","H247-fl - GLA (SUV)","Last Configuration Started","",""
