"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40184","test_run[test_case35]","IT/it","Sat May 03 20:06:35 GMT 2025","passed","Sat May 03 20:07:15 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","27034","test_run[test_case51]","IT/it","Sat May 03 20:13:18 GMT 2025","passed","Sat May 03 20:13:45 GMT 2025","H247-fl - GLA (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38296","test_run[test_case10]","IT/it","Sat May 03 20:00:25 GMT 2025","passed","Sat May 03 20:01:03 GMT 2025","W214 - E-CLASS (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35374","test_run[test_case4]","IT/it","Sat May 03 19:59:08 GMT 2025","passed","Sat May 03 19:59:44 GMT 2025","X247-fl - GLB (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35805","test_run[test_case5]","IT/it","Sat May 03 19:59:44 GMT 2025","passed","Sat May 03 20:00:20 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35993","test_run[test_case50]","IT/it","Sat May 03 20:10:09 GMT 2025","passed","Sat May 03 20:10:45 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38190","test_run[test_case6]","IT/it","Sat May 03 19:59:48 GMT 2025","passed","Sat May 03 20:00:27 GMT 2025","V295 - EQE (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35130","test_run[test_case53]","IT/it","Sat May 03 20:10:45 GMT 2025","passed","Sat May 03 20:11:20 GMT 2025","H243-fl - EQA (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37771","test_run[test_case27]","IT/it","Sat May 03 20:04:11 GMT 2025","passed","Sat May 03 20:04:49 GMT 2025","C118-fl - CLA (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38532","test_run[test_case21]","IT/it","Sat May 03 20:05:03 GMT 2025","passed","Sat May 03 20:05:42 GMT 2025","H247-fl - GLA (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41830","test_run[test_case17]","IT/it","Sat May 03 20:02:13 GMT 2025","passed","Sat May 03 20:02:55 GMT 2025","X254 - GLC (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38591","test_run[test_case29]","IT/it","Sat May 03 20:05:56 GMT 2025","passed","Sat May 03 20:06:35 GMT 2025","A236 - CLE (CABRIOLET-ROADSTER)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38039","test_run[test_case22]","IT/it","Sat May 03 20:05:42 GMT 2025","passed","Sat May 03 20:06:20 GMT 2025","V167-fl - GLE (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37083","test_run[test_case26]","IT/it","Sat May 03 20:04:21 GMT 2025","passed","Sat May 03 20:04:58 GMT 2025","C174 - CLA-ELECTRIC (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34129","test_run[test_case32]","IT/it","Sat May 03 20:06:29 GMT 2025","passed","Sat May 03 20:07:03 GMT 2025","X296 - EQS (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","0","test_run[test_case1]","","Sat May 03 19:58:19 GMT 2025","passed","Sat May 03 19:58:19 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35636","test_run[test_case52]","IT/it","Sat May 03 20:10:42 GMT 2025","passed","Sat May 03 20:11:18 GMT 2025","V167-fl - GLE (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37024","test_run[test_case24]","IT/it","Sat May 03 20:01:43 GMT 2025","passed","Sat May 03 20:02:20 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35632","test_run[test_case39]","IT/it","Sat May 03 20:08:12 GMT 2025","passed","Sat May 03 20:08:47 GMT 2025","V297 - EQS (SALOON)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40614","test_run[test_case19]","IT/it","Sat May 03 20:03:31 GMT 2025","passed","Sat May 03 20:04:11 GMT 2025","C236 - CLE (COUPE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","35767","test_run[test_case41]","IT/it","Sat May 03 20:08:37 GMT 2025","passed","Sat May 03 20:09:13 GMT 2025","C167-fl - GLE-COUPE (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38084","test_run[test_case57]","IT/it","Sat May 03 20:11:45 GMT 2025","passed","Sat May 03 20:12:23 GMT 2025","C118-fl - CLA (COUPE)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38802","test_run[test_case34]","IT/it","Sat May 03 20:08:10 GMT 2025","passed","Sat May 03 20:08:49 GMT 2025","X247-fl - GLB (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36852","test_run[test_case33]","IT/it","Sat May 03 20:07:33 GMT 2025","passed","Sat May 03 20:08:10 GMT 2025","W223 - S-CLASS (SALOON)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33941","test_run[test_case55]","IT/it","Sat May 03 20:11:18 GMT 2025","passed","Sat May 03 20:11:52 GMT 2025","X243-fl - EQB (SUV)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38378","test_run[test_case30]","IT/it","Sat May 03 20:05:49 GMT 2025","passed","Sat May 03 20:06:28 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38480","test_run[test_case2]","IT/it","Sat May 03 20:00:54 GMT 2025","passed","Sat May 03 20:01:33 GMT 2025","X296 - EQS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32753","test_run[test_case59]","IT/it","Sat May 03 20:12:29 GMT 2025","passed","Sat May 03 20:13:02 GMT 2025","A236 - CLE (CABRIOLET-ROADSTER)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37124","test_run[test_case20]","IT/it","Sat May 03 20:01:41 GMT 2025","passed","Sat May 03 20:02:18 GMT 2025","W177-fl - A-CLASS (HATCHBACK)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36084","test_run[test_case43]","IT/it","Sat May 03 20:09:28 GMT 2025","passed","Sat May 03 20:10:04 GMT 2025","S206 - C-CLASS (ESTATE)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37206","test_run[test_case23]","IT/it","Sat May 03 20:06:20 GMT 2025","passed","Sat May 03 20:06:57 GMT 2025","H243-fl - EQA (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","36201","test_run[test_case28]","IT/it","Sat May 03 20:05:20 GMT 2025","passed","Sat May 03 20:05:56 GMT 2025","W465 - G-CLASS (SUV)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","39566","test_run[test_case36]","IT/it","Sat May 03 20:07:15 GMT 2025","passed","Sat May 03 20:07:55 GMT 2025","V295 - EQE (SALOON)","Last Configuration Started","",""
"❌ Skipping test 'Last Configuration Completed' due to lack of CONFIGURATOR URL.","1295","test_run[test_case31]","IT/it","Sat May 03 20:06:28 GMT 2025","skipped","Sat May 03 20:06:29 GMT 2025","C178 - NEW (SALOON)","Last Configuration Completed","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32278","test_run[test_case60]","IT/it","Sat May 03 20:12:23 GMT 2025","passed","Sat May 03 20:12:56 GMT 2025","S214 - E-CLASS (ESTATE)","Last Configuration Started","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","38111","test_run[test_case7]","IT/it","Sat May 03 20:00:27 GMT 2025","passed","Sat May 03 20:01:05 GMT 2025","C254 - GLC-COUPE (SUV)","Last Configuration Completed","",""
