"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45941","test_run[test_case171]","CH/fr","Mon May 05 08:28:18 GMT 2025","passed","Mon May 05 08:29:04 GMT 2025","W465 - G-CLASS (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","58979","test_run[test_case359]","LU/de","Mon May 05 09:33:59 GMT 2025","failed","Mon May 05 09:34:58 GMT 2025","X247-fl - GLB (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","73193","test_run[test_case24]","AT/de","Mon May 05 07:31:04 GMT 2025","passed","Mon May 05 07:32:17 GMT 2025","V295 - EQE (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","59236","test_run[test_case490]","PT/pt","Mon May 05 10:24:52 GMT 2025","failed","Mon May 05 10:25:51 GMT 2025","X167-fl - GLS (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40999","test_run[test_case67]","BE/nl","Mon May 05 08:14:17 GMT 2025","passed","Mon May 05 08:14:58 GMT 2025","N465 - SUV (MODELS)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47130","test_run[test_case192]","CH/it","Mon May 05 08:34:55 GMT 2025","passed","Mon May 05 08:35:42 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","49237","test_run[test_case151]","CH/fr","Mon May 05 08:03:13 GMT 2025","passed","Mon May 05 08:04:02 GMT 2025","C254 - GLC-COUPE (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","0","test_run[test_case16]","","Mon May 05 07:19:12 GMT 2025","passed","Mon May 05 07:19:12 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","49650","test_run[test_case178]","CH/it","Mon May 05 08:11:52 GMT 2025","passed","Mon May 05 08:12:41 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Seen PDP","",""
"❌ Skipping test 'Last Seen PDP' due to lack of ONLINE_SHOP URL.","1291","test_run[test_case483]","PT/pt","Mon May 05 10:14:11 GMT 2025","skipped","Mon May 05 10:14:13 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","54711","test_run[test_case372]","LU/de","Mon May 05 10:02:27 GMT 2025","failed","Mon May 05 10:03:22 GMT 2025","X254 - GLC (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44155","test_run[test_case438]","NL/nl","Mon May 05 09:49:00 GMT 2025","passed","Mon May 05 09:49:44 GMT 2025","H247-fl - GLA (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","50989","test_run[test_case311]","HU/hu","Mon May 05 09:21:25 GMT 2025","passed","Mon May 05 09:22:16 GMT 2025","W206 - C-CLASS (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","48351","test_run[test_case355]","IT/it","Mon May 05 09:26:53 GMT 2025","passed","Mon May 05 09:27:41 GMT 2025","S214 - E-CLASS (ESTATE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","66124","test_run[test_case86]","BE/fr","Mon May 05 07:36:28 GMT 2025","passed","Mon May 05 07:37:34 GMT 2025","V295 - EQE (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","66049","test_run[test_case257]","DK/da","Mon May 05 09:12:31 GMT 2025","failed","Mon May 05 09:13:37 GMT 2025","V167-fl - GLE (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","34913","test_run[test_case217]","CZ/cs","Mon May 05 09:05:28 GMT 2025","passed","Mon May 05 09:06:02 GMT 2025","X167-fl - GLS (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","37902","test_run[test_case473]","PL/pl","Mon May 05 10:37:01 GMT 2025","passed","Mon May 05 10:37:39 GMT 2025","X243-fl - EQB (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","54273","test_run[test_case352]","IT/it","Mon May 05 09:22:21 GMT 2025","passed","Mon May 05 09:23:15 GMT 2025","C118-fl - CLA (COUPE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41141","test_run[test_case440]","NL/nl","Mon May 05 09:50:25 GMT 2025","passed","Mon May 05 09:51:06 GMT 2025","H243-fl - EQA (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","54552","test_run[test_case492]","PT/pt","Mon May 05 10:32:22 GMT 2025","failed","Mon May 05 10:33:17 GMT 2025","W247-fl - B-CLASS (HATCHBACK)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","0","test_run[test_case0]","","Mon May 05 07:19:12 GMT 2025","passed","Mon May 05 07:19:12 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","50609","test_run[test_case253]","DK/da","Mon May 05 08:59:26 GMT 2025","failed","Mon May 05 09:00:17 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46674","test_run[test_case346]","IT/it","Mon May 05 09:24:56 GMT 2025","passed","Mon May 05 09:25:43 GMT 2025","H247-fl - GLA (SUV)","Last Seen PDP","",""
"❌ Skipping test 'Last Seen PDP' due to lack of ONLINE_SHOP URL.","535","test_run[test_case106]","BE/fr","Mon May 05 08:07:04 GMT 2025","skipped","Mon May 05 08:07:05 GMT 2025","C174 - CLA-ELECTRIC (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45219","test_run[test_case362]","LU/de","Mon May 05 09:42:41 GMT 2025","failed","Mon May 05 09:43:26 GMT 2025","V223 - S-CLASS (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","72799","test_run[test_case559]","SE/sv","Mon May 05 11:34:10 GMT 2025","failed","Mon May 05 11:35:22 GMT 2025","V167-fl - GLE (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","58777","test_run[test_case51]","BE/nl","Mon May 05 07:43:01 GMT 2025","passed","Mon May 05 07:44:00 GMT 2025","X296 - SUV (MODELS)","Last Seen PDP","",""
"❌ Skipping test 'Last Seen PDP' due to lack of ONLINE_SHOP URL.","1127","test_run[test_case240]","DK/da","Mon May 05 08:27:33 GMT 2025","skipped","Mon May 05 08:27:34 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","51241","test_run[test_case139]","CH/de","Mon May 05 07:58:36 GMT 2025","passed","Mon May 05 07:59:27 GMT 2025","C118-fl - CLA (COUPE)","Last Seen PDP","",""
"❌ Skipping test 'Last Seen PDP' due to lack of ONLINE_SHOP URL.","920","test_run[test_case532]","RO/ro","Mon May 05 11:15:45 GMT 2025","skipped","Mon May 05 11:15:46 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","51299","test_run[test_case129]","CH/de","Mon May 05 07:48:34 GMT 2025","passed","Mon May 05 07:49:25 GMT 2025","X254 - GLC (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","69644","test_run[test_case550]","SE/sv","Mon May 05 11:27:08 GMT 2025","failed","Mon May 05 11:28:18 GMT 2025","X167-fl - GLS (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","49068","test_run[test_case434]","NL/nl","Mon May 05 09:44:23 GMT 2025","passed","Mon May 05 09:45:12 GMT 2025","X254 - GLC (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","57034","test_run[test_case150]","CH/fr","Mon May 05 08:02:16 GMT 2025","failed","Mon May 05 08:03:13 GMT 2025","V223 - S-CLASS (SALOON-LONG)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","71055","test_run[test_case546]","SE/sv","Mon May 05 11:07:41 GMT 2025","failed","Mon May 05 11:08:52 GMT 2025","V223 - S-CLASS (SALOON-LONG)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","54791","test_run[test_case363]","LU/de","Mon May 05 09:44:11 GMT 2025","passed","Mon May 05 09:45:06 GMT 2025","C254 - GLC-COUPE (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","57987","test_run[test_case130]","CH/de","Mon May 05 07:49:25 GMT 2025","passed","Mon May 05 07:50:23 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Seen PDP","",""
"❌ Skipping test 'Last Seen PDP' due to lack of ONLINE_SHOP URL.","721","test_run[test_case326]","HU/hu","Mon May 05 09:01:13 GMT 2025","skipped","Mon May 05 09:01:14 GMT 2025","C178 - NEW (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","43977","test_run[test_case191]","CH/it","Mon May 05 08:32:40 GMT 2025","passed","Mon May 05 08:33:24 GMT 2025","X254 - GLC (SUV)","Last Seen PDP","",""
"❌ Skipping test 'Last Seen PDP' due to lack of ONLINE_SHOP URL.","1389","test_run[test_case521]","RO/ro","Mon May 05 11:06:40 GMT 2025","skipped","Mon May 05 11:06:41 GMT 2025","S206 - C-CLASS (ESTATE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","61237","test_run[test_case125]","CH/de","Mon May 05 07:39:55 GMT 2025","passed","Mon May 05 07:40:56 GMT 2025","S206 - C-CLASS (ESTATE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","56541","test_run[test_case530]","RO/ro","Mon May 05 11:10:48 GMT 2025","failed","Mon May 05 11:11:45 GMT 2025","V167-fl - GLE (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","52949","test_run[test_case569]","SK/sk","Mon May 05 11:42:45 GMT 2025","failed","Mon May 05 11:43:38 GMT 2025","X296 - EQS (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44269","test_run[test_case484]","PT/pt","Mon May 05 10:16:58 GMT 2025","passed","Mon May 05 10:17:42 GMT 2025","V295 - EQE (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","0","test_run[test_case12]","","Mon May 05 07:19:12 GMT 2025","passed","Mon May 05 07:19:12 GMT 2025","","QAAppAllure","",""
"❌ Skipping test 'Last Seen PDP' due to lack of ONLINE_SHOP URL.","865","test_run[test_case443]","NL/nl","Mon May 05 09:52:41 GMT 2025","skipped","Mon May 05 09:52:42 GMT 2025","C174 - CLA-ELECTRIC (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42875","test_run[test_case172]","CH/fr","Mon May 05 08:31:48 GMT 2025","failed","Mon May 05 08:32:30 GMT 2025","A236 - CLE (CABRIOLET-ROADSTER)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44434","test_run[test_case229]","CZ/cs","Mon May 05 08:15:54 GMT 2025","passed","Mon May 05 08:16:38 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45957","test_run[test_case494]","PT/pt","Mon May 05 10:15:16 GMT 2025","passed","Mon May 05 10:16:02 GMT 2025","W206 - C-CLASS (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","52949","test_run[test_case241]","DK/da","Mon May 05 08:27:34 GMT 2025","passed","Mon May 05 08:28:27 GMT 2025","V295 - EQE (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","64401","test_run[test_case567]","SE/sv","Mon May 05 11:38:51 GMT 2025","failed","Mon May 05 11:39:56 GMT 2025","S214 - E-CLASS (ESTATE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","54390","test_run[test_case122]","CH/de","Mon May 05 07:35:56 GMT 2025","passed","Mon May 05 07:36:50 GMT 2025","W214 - E-CLASS (SALOON)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","56609","test_run[test_case482]","PT/pt","Mon May 05 10:13:15 GMT 2025","failed","Mon May 05 10:14:11 GMT 2025","X247-fl - GLB (SUV)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42045","test_run[test_case193]","CH/it","Mon May 05 08:36:28 GMT 2025","passed","Mon May 05 08:37:10 GMT 2025","C236 - CLE (COUPE)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","57053","test_run[test_case109]","BE/fr","Mon May 05 08:11:00 GMT 2025","failed","Mon May 05 08:11:57 GMT 2025","A236 - CLE (CABRIOLET-ROADSTER)","Last Seen PDP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44265","test_run[test_case436]","NL/nl","Mon May 05 09:47:30 GMT 2025","passed","Mon May 05 09:48:14 GMT 2025","C236 - CLE (COUPE)","Last Seen PDP","",""
