"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46177","test_run[test_case5]","CH/de","Sun May 04 07:16:46 GMT 2025","failed","Sun May 04 07:17:32 GMT 2025","Z223 - MAYBACH-S-CLASS (SALOON-LONG)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47799","test_run[test_case25]","CH/de","Sun May 04 07:20:13 GMT 2025","passed","Sun May 04 07:21:01 GMT 2025","X243-fl - EQB (SUV)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","29862","test_run[test_case30]","CH/de","Sun May 04 07:21:24 GMT 2025","passed","Sun May 04 07:21:54 GMT 2025","S214 - E-CLASS (ESTATE)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40462","test_run[test_case3]","CH/de","Sun May 04 07:13:34 GMT 2025","passed","Sun May 04 07:14:15 GMT 2025","X247-fl - GLB (SUV)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40169","test_run[test_case19]","CH/de","Sun May 04 07:18:08 GMT 2025","passed","Sun May 04 07:18:48 GMT 2025","C236 - CLE (COUPE)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","62462","test_run[test_case1]","CH/de","Sun May 04 07:11:56 GMT 2025","passed","Sun May 04 07:12:59 GMT 2025","X296 - EQS (SUV)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40959","test_run[test_case18]","CH/de","Sun May 04 07:17:27 GMT 2025","passed","Sun May 04 07:18:08 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40743","test_run[test_case24]","CH/de","Sun May 04 07:19:30 GMT 2025","passed","Sun May 04 07:20:11 GMT 2025","X118-fl - CLA-SHOOTING-BRAKE (ESTATE)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","52846","test_run[test_case14]","CH/de","Sun May 04 07:19:39 GMT 2025","failed","Sun May 04 07:20:31 GMT 2025","W247-fl - B-CLASS (HATCHBACK)","Last Seen SRP","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","32275","test_run[test_case27]","CH/de","Sun May 04 07:20:52 GMT 2025","passed","Sun May 04 07:21:24 GMT 2025","C118-fl - CLA (COUPE)","Last Seen SRP","",""
