"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"❌ Skipping test 'BFV3' due to lack of CONFIGURATOR URL.","697","test_run[test_case30]","LU/de","Fri May 09 06:48:26 GMT 2025","skipped","Fri May 09 06:48:27 GMT 2025","C178 - NEW (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","48720","test_run[test_case20]","LU/de","Fri May 09 06:47:36 GMT 2025","passed","Fri May 09 06:48:25 GMT 2025","H247-fl - GLA (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42871","test_run[test_case13]","LU/de","Fri May 09 06:43:54 GMT 2025","passed","Fri May 09 06:44:36 GMT 2025","W247-fl - B-CLASS (HATCHBACK)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44824","test_run[test_case29]","LU/de","Fri May 09 06:47:42 GMT 2025","passed","Fri May 09 06:48:26 GMT 2025","S214 - E-CLASS (ESTATE)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","61959","test_run[test_case6]","LU/de","Fri May 09 06:44:17 GMT 2025","failed","Fri May 09 06:45:19 GMT 2025","V223 - S-CLASS (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","40996","test_run[test_case7]","LU/de","Fri May 09 06:45:19 GMT 2025","passed","Fri May 09 06:46:00 GMT 2025","C254 - GLC-COUPE (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","48106","test_run[test_case1]","LU/de","Fri May 09 06:43:01 GMT 2025","passed","Fri May 09 06:43:49 GMT 2025","X296 - EQS (SUV)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","8920","test_run[test_case2]","LU/de","Fri May 09 06:41:10 GMT 2025","skipped","Fri May 09 06:41:18 GMT 2025","W223 - S-CLASS (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","57717","test_run[test_case5]","LU/de","Fri May 09 06:41:18 GMT 2025","passed","Fri May 09 06:42:16 GMT 2025","V295 - EQE (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","41265","test_run[test_case15]","LU/de","Fri May 09 06:44:56 GMT 2025","passed","Fri May 09 06:45:37 GMT 2025","W206 - C-CLASS (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47546","test_run[test_case18]","LU/de","Fri May 09 06:45:37 GMT 2025","passed","Fri May 09 06:46:24 GMT 2025","C236 - CLE (COUPE)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","49840","test_run[test_case16]","LU/de","Fri May 09 06:45:20 GMT 2025","passed","Fri May 09 06:46:10 GMT 2025","X254 - GLC (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","44426","test_run[test_case8]","LU/de","Fri May 09 06:43:49 GMT 2025","passed","Fri May 09 06:44:33 GMT 2025","V297 - EQS (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","1","test_run[test_case0]","","Fri May 09 06:41:10 GMT 2025","passed","Fri May 09 06:41:10 GMT 2025","","QAAppAllure","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","45106","test_run[test_case21]","LU/de","Fri May 09 06:46:24 GMT 2025","passed","Fri May 09 06:47:10 GMT 2025","V167-fl - GLE (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","56750","test_run[test_case24]","LU/de","Fri May 09 06:47:10 GMT 2025","passed","Fri May 09 06:48:06 GMT 2025","X243-fl - EQB (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","49071","test_run[test_case3]","LU/de","Fri May 09 06:42:22 GMT 2025","passed","Fri May 09 06:43:11 GMT 2025","X247-fl - GLB (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","33800","test_run[test_case28]","LU/de","Fri May 09 06:50:09 GMT 2025","passed","Fri May 09 06:50:43 GMT 2025","A236 - CLE (CABRIOLET-ROADSTER)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","1823","test_run[test_case25]","LU/de","Fri May 09 06:47:40 GMT 2025","skipped","Fri May 09 06:47:42 GMT 2025","C174 - CLA-ELECTRIC (SALOON)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","50705","test_run[test_case12]","LU/de","Fri May 09 06:44:05 GMT 2025","passed","Fri May 09 06:44:56 GMT 2025","S206 - C-CLASS (ESTATE)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","49000","test_run[test_case14]","LU/de","Fri May 09 06:46:16 GMT 2025","passed","Fri May 09 06:47:05 GMT 2025","X294 - EQE (SUV)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of TEST_DRIVE URL.","8919","test_run[test_case4]","LU/de","Fri May 09 06:41:10 GMT 2025","skipped","Fri May 09 06:41:18 GMT 2025","R232 - SL (CABRIOLET-ROADSTER)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of TEST_DRIVE URL.","1264","test_run[test_case17]","LU/de","Fri May 09 06:47:05 GMT 2025","skipped","Fri May 09 06:47:06 GMT 2025","N465 - G-CLASS-ELECTRIC (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","42076","test_run[test_case10]","LU/de","Fri May 09 06:43:11 GMT 2025","passed","Fri May 09 06:43:54 GMT 2025","C167-fl - GLE-COUPE (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","47165","test_run[test_case11]","LU/de","Fri May 09 06:43:18 GMT 2025","passed","Fri May 09 06:44:05 GMT 2025","X167-fl - GLS (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","54405","test_run[test_case22]","LU/de","Fri May 09 06:46:45 GMT 2025","passed","Fri May 09 06:47:40 GMT 2025","H243-fl - EQA (SUV)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of CONFIGURATOR URL.","404","test_run[test_case31]","LU/de","Fri May 09 06:50:43 GMT 2025","skipped","Fri May 09 06:50:43 GMT 2025","V177-fl - A-CLASS (SALOON)","BFV3","",""
"❌ Skipping test 'BFV3' due to lack of ONLINE_SHOP URL.","528","test_run[test_case27]","LU/de","Fri May 09 06:48:52 GMT 2025","skipped","Fri May 09 06:48:52 GMT 2025","W465 - G-CLASS (SUV)","BFV3","",""
"
Runs a test for each test case, either manually defined or dynamically fetched.
","46405","test_run[test_case9]","LU/de","Fri May 09 06:44:33 GMT 2025","passed","Fri May 09 06:45:20 GMT 2025","W214 - E-CLASS (SALOON)","BFV3","",""
